YEAR,SPRING_CHINOOK_ADULTS,SPRING_CHINOOK_JACKS,SPRING_CHINOOK_MINIS,SPRING_CHINOOK_TOTAL,FALL_CHINOOK_ADULTS,FALL_CHINOOK_JACKS,FALL_CHINOOK_TOTAL,COHO_ADULTS,COHO_JACKS,COHO_TOTAL,WINTER_STEELHEAD_EARLY,WINTER_STEELHEAD_LATE,WINTER_STEELHEAD_TOTAL,SUMMER_STEELHEAD,CHUM,FOOTNOTE
1971,43936,633,,44569,4880,210,5090,17410,6670,24080,8152,18495,26647,2310,1971,
1972,25339,815,,26154,11614,212,11826,9983,7157,17140,6572,16685,23257,690,1972,
1973,40495,1465,,41960,21861,376,22237,5174,1583,6757,6389,11511,17900,1686,1973,
1974,44090,440,,44530,33924,265,34189,1501,3941,5442,5733,9091,14824,4858,1974,
1975,17844,1235,,19079,32877,895,33772,5922,6927,12849,3096,3034,6130,2910,1975,
1976,21031,1123,,22154,29269,931,30200,2333,2217,4550,4204,5194,9398,3876,1976,
1977,38509,1503,,40012,25742,382,26124,1007,2120,3127,5327,8277,13604,9244,1977,
1978,45711,1801,,47512,17437,465,17902,1711,3891,5602,8599,8270,16869,15172,1978,
1979,25492,1131,,26623,9905,436,10341,1788,1691,3479,2861,5865,8726,7638,1979,
1980,26364,609,,26973,7760,625,8385,1276,1365,2641,6258,16097,22356,11222,1980,
1981,28640,1417,,30057,16690,1085,17775,1032,2417,3449,7662,9004,16666,15224,1981,
1982,45107,1088,,46195,25760,1123,26883,1702,3517,5219,6117,6894,13011,12571,1982,
1983,28692,1897,,30589,13205,528,13733,949,2840,3689,4596,4702,9298,5301,1983,
1984,42363,1089,,43452,20060,1084,21144,2735,2560,5295,6664,10720,17384,25002,1984,
1985,33095,1438,26133,34533,29089,1114,30203,2788,2278,5066,4549,16043,20592,22223,1985,
1986,37300,1855,10756,39155,14037,810,14847,2930,2240,5170,8475,12776,21251,40719,1986,
1987,52797,2035,26486,54832,8766,183,8949,1589,3224,4813,8543,8222,16765,23742,1987,
1988,68723,1728,34400,70451,6867,88,6955,3707,4985,8692,8371,15007,23378,36940,1988,
1989,65866,3314,13154,69180,6472,513,6985,1946,1741,3687,4211,5361,9572,6841,1989,
1990,69128,2145,7904,71273,4490,422,4912,901,1817,2718,1878,9229,11107,23428,1990,
1991,48696,3820,5448,52516,6488,2949,9437,921,815,1736,2221,2722,4943,6360,1991,
1992,39657,2347,913,42004,12635,1656,14291,940,588,1528,1717,3679,5396,11697,1992,
1993,29721,2245,2917,31966,7148,136,7284,427,236,663,843,2725,3568,12920,1993,
1994,25460,642,2906,26102,2545,147,2692,685,174,859,1025,4275,5300,11819,1994,
1995,19343,1249,4395,20592,988,69,1057,582,600,1179,1991,2702,4693,12704,1995,
1996,20394,1211,2095,21605,1175,789,1964,315,976,1291,479,1322,1801,6346,1996,
1997,26248,637,2413,26885,4448,44,4492,1407,428,1835,619,3925,4544,14907,1997,
1998,33073,1388,1096,34461,2657,65,2722,373,386,759,757,2921,3678,12931,1998,1
1999,38948,1462,1352,40410,289,63,352,635,623,1258,1207,5697,6904,10935,1999,1
2000,37594,1479,5162,39073,1896,233,2129,2839,773,3612,1402,3359,4761,12518,2000,
2001,52685,1288,3507,53973,1711,39,1750,1736,402,2138,1773,10752,12525,26418,2001,
2002,82111,1025,10376,83136,763,95,858,2337,2417,4747,5552,11106,16658,34291,2002,
2003,85898,1851,1659,87749,390,34,424,7908,1869,9717,2430,6662,9092,15834,2003,
2004,95968,757,1289,96725,673,116,789,2849,524,3373,3755,8087,11842,33440,2004,
2005,35453,1180,125,36633,964,73,1037,1322,271,1593,1340,4623,5963,14063,2005,
2006,36851,190,443,37041,1937,329,2266,6188,1614,7802,3153,3251,6404,19373,2006,
2007,23279,360,2990,23639,548,113,661,6678,924,7602,2106,3368,5474,14915,2007,
2008,14151,521,9973,14672,2552,1096,3648,4048,2962,7010,2327,2588,4915,14883,2008,
2009,25795,2719,7487,28514,1336,231,1567,25298,2094,27392,703,2110,2813,15062,2009,
2010,65293,1766,4567,67059,695,79,774,20021,1987,22008,2481,4856,7337,25675,2010,
2011,43748,1399,3586,45147,1856,339,2195,3393,1969,5362,2771,4670,7441,21477,2011,
2012,35899,1314,3877,37213,1795,429,2224,6571,6370,12941,2917,4699,7616,24729,2012,
2013,27897,1664,12748,29561,1590,409,1999,18627,4111,22738,1322,3622,4944,13549,2013,
2014,30071,1598,6840,31669,1383,479,1862,18062,3379,21441,839,4510,5349,22941,2014,
2015,51046,2042,5678,53088,2931,1022,3953,2650,923,3573,1905,2603,4508,3894,2015,
2016,30317,2161,3727,32478,1041,222,1263,2559,1991,4550,2023,3755,5778,21732,2016,
2017,34186,2442,1624,36628,2886,576,3462,3041,2680,5721,279,543,822,2182,2017,
2018,24543,1999,3083,26542,2642,335,2977,2557,2804,5361,596,1233,1829,9277,2018,
2019,18882,1735,4331,20617,1471,295,1766,7454,1389,8843,495,2707,3202,5367,2019,
2020,33888,1124,6145,35012,2309,773,3082,11800,3204,15004,1792,3718,5510,5504,4,
2021,28646,1379,2722,30025,3141,541,3682,21100,3157,24257,851,1215,2066,1709,2021,
2022,37057,1572,3414,38629,2714,307,3021,11260,6630,17890,1228,1574,2802,5996,4,
2023,23422,667,2721,24089,1372,140,1512,29654,11285,40939,527,1512,2039,1157,2,
2024,21989,603,5620,22592,1639,245,1884,53423,7215,60638,2722,6186,8908,18941,2024,
